GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gerenciadordetimes,br.com.systemfut.funcionarios_gerais,SalarioDeFuncionarios,140,0,0,0,11,0,3,0,3,0
gerenciadordetimes,br.com.systemfut.funcionarios_gerais,FuncionariosADM,39,0,0,0,13,0,6,0,6,0
gerenciadordetimes,br.com.systemfut.funcionarios_gerais,FuncionariosGerais,73,0,4,0,23,0,14,0,12,0
gerenciadordetimes,br.com.systemfut.funcionarios_gerais,FuncionariosComum,23,0,0,0,8,0,4,0,4,0
gerenciadordetimes,br.com.systemfut.Clube,Clube,550,0,14,0,144,0,46,0,39,0
gerenciadordetimes,br.com.systemfut.bonificacao,BonificacaoEnum,52,0,0,0,9,0,4,0,4,0
gerenciadordetimes,br.com.systemfut.bonificacao,Bonificacao,57,0,0,0,11,0,9,0,9,0
gerenciadordetimes,br.com.systemfut.dados_extras,DadosBancarios,38,0,0,0,16,0,11,0,11,0
gerenciadordetimes,br.com.systemfut.dados_extras,DadosPessoais,98,0,4,0,34,0,22,0,20,0
gerenciadordetimes,br.com.systemfut.dados_extras,SenhaDaAreaDeDadosMetodos,84,0,2,0,22,0,4,0,3,0
gerenciadordetimes,br.com.systemfut.main,Principal,27,0,0,0,7,0,2,0,2,0
gerenciadordetimes,br.com.systemfut.exception,InvalidNumberException,4,0,0,0,2,0,1,0,1,0
gerenciadordetimes,br.com.systemfut.atletas_e_comissao,Jogadores,48,0,4,0,15,0,9,0,7,0
gerenciadordetimes,br.com.systemfut.atletas_e_comissao,AtletasEComissao,68,0,4,0,21,0,13,0,11,0
gerenciadordetimes,br.com.systemfut.atletas_e_comissao,ComissaoTecnica,57,0,4,0,17,0,9,0,7,0
